catalog_type,item_id,asset_variant,image_url
art,e49b4ab106be940c,fake,https://dodo.ac/np/images/5/59/Scenic_Painting_%28Fake%29_NH_Icon.png
art,e49b4ab106be940c,real,https://dodo.ac/np/images/c/c9/Scenic_Painting_NH_Icon.png
art,e61cb6e22c327c0b,fake,https://dodo.ac/np/images/8/83/Graceful_Painting_%28Fake%29_NH_Icon.png
art,e61cb6e22c327c0b,real,https://dodo.ac/np/images/5/59/Graceful_Painting_NH_Icon.png
art,f332ae200515c8c3,fake,https://dodo.ac/np/images/1/12/Ancient_Statue_%28Fake%29_NH_Icon.png
art,f332ae200515c8c3,real,https://dodo.ac/np/images/0/03/Ancient_Statue_NH_Icon.png
art,f491f09c205037f6,fake,https://dodo.ac/np/images/e/ed/Robust_Statue_%28Fake%29_NH_Icon.png
art,f491f09c205037f6,real,https://dodo.ac/np/images/6/6e/Robust_Statue_NH_Icon.png
art,f73139a013102bdf,fake,https://dodo.ac/np/images/3/31/Wild_Painting_Right_Half_%28Fake%29_NH_Icon.png
art,f73139a013102bdf,real,https://dodo.ac/np/images/9/9f/Wild_Painting_Right_Half_NH_Icon.png
art,f7df05299ee45c41,real,https://dodo.ac/np/images/7/71/Great_Statue_NH_Icon.png
art,fb3c821c7be2569f,real,https://dodo.ac/np/images/3/38/Warm_Painting_NH_Icon.png
bugs,02180e9bdde86810,tank,https://dodo.ac/np/images/9/9f/Giraffe_Stag_NH_Furniture_Icon.png
bugs,038cb53057ca6066,tank,https://dodo.ac/np/images/9/96/Evening_Cicada_NH_Furniture_Icon.png
bugs,03db74a23ee69cf4,tank,https://dodo.ac/np/images/c/c4/Horned_Dynastid_NH_Furniture_Icon.png
bugs,07af401e90bfff65,tank,https://dodo.ac/np/images/7/75/Flea_NH_Furniture_Icon.png
bugs,0b9a87bf388eb92d,tank,https://dodo.ac/np/images/c/cc/Firefly_NH_Furniture_Icon.png
bugs,15e0cd279c948b4c,tank,https://dodo.ac/np/images/5/52/Cicada_Shell_NH_Furniture_Icon.png
bugs,196a3a37669958fd,tank,https://dodo.ac/np/images/f/fd/Ladybug_NH_Furniture_Icon.png
bugs,1c0d18cac424a77c,tank,https://dodo.ac/np/images/8/8a/Mantis_NH_Furniture_Icon.png
bugs,1c7a63fc50d8b965,tank,https://dodo.ac/np/images/1/17/Yellow_Butterfly_NH_Furniture_Icon.png
